CustomerID,total_revenue,avg_order_value,invoice_count,total_quantity,first_purchase,last_purchase,tenure_days,recency_days,churn_flag,churn_probability,raw_clv,final_clv,clv_segment
12346.0,77183.6,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,0,325,1,0.6258523,77183.6,28878.067435336114,High Value
12347.0,4310.0,23.68131868131868,7,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,365,1,0,0.00049803813,4310.0,4307.853376865387,High Value
12348.0,1797.24,57.97548387096774,4,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,282,74,0,0.00051263446,1797.24,1796.3186277508735,High Value
12349.0,1757.55,24.07602739726028,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,0,18,0,0.23881097,1757.55,1337.827803441882,High Value
12350.0,334.4,19.670588235294115,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0,309,1,0.36436698,334.4,212.55567245483397,Mid Value
12352.0,2506.04,29.482823529411764,8,536,2011-02-16 12:33:00,2011-11-03 14:37:00,260,35,0,0.00082936353,2506.04,2503.9616432237626,High Value
12353.0,89.0,22.25,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,0,203,1,0.574999,89.0,37.82509124279022,Low Value
12354.0,1079.4,18.610344827586207,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0,231,1,0.26251808,1079.4,796.0380186796189,Mid Value
12355.0,459.4,35.33846153846154,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,0,213,1,0.43608588,459.4,259.0621468186378,Mid Value
12356.0,2811.43,47.65135593220339,3,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,302,22,0,0.0010679862,2811.43,2808.427403935194,High Value
12357.0,6207.67,47.38679389312977,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,0,32,0,0.19962142,6207.67,4968.485981886387,High Value
12358.0,1168.06,61.47684210526315,2,248,2011-07-12 10:04:00,2011-12-08 10:26:00,149,1,0,0.14730114,1168.06,996.0034333932399,Mid Value
12359.0,6372.58,25.6958870967742,4,1622,2011-01-12 12:43:00,2011-10-13 12:47:00,274,57,0,0.00058522803,6372.58,6368.850776364803,High Value
