CustomerID,total_revenue,avg_order_value,invoice_count,total_quantity,first_purchase,last_purchase,tenure_days,recency_days
12346.0,77183.6,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,0,325
12347.0,4310.0,23.681318681318682,7,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,365,1
12348.0,1797.24,57.97548387096774,4,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,282,74
12349.0,1757.55,24.076027397260273,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,0,18
12350.0,334.4,19.670588235294115,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0,309
12352.0,2506.04,29.482823529411764,8,536,2011-02-16 12:33:00,2011-11-03 14:37:00,260,35
12353.0,89.0,22.25,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,0,203
12354.0,1079.4,18.610344827586207,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0,231
12355.0,459.4,35.33846153846154,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,0,213
12356.0,2811.43,47.65135593220339,3,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,302,22
12357.0,6207.67,47.38679389312977,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,0,32
12358.0,1168.06,61.47684210526315,2,248,2011-07-12 10:04:00,2011-12-08 10:26:00,149,1
12359.0,6372.58,25.695887096774193,4,1622,2011-01-12 12:43:00,2011-10-13 12:47:00,274,57
12360.0,2662.06,20.63612403100775,3,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,148,51
12361.0,189.9,18.990000000000002,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,0,286
12362.0,5226.23,19.647481203007516,10,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,292,2
12363.0,552.0,24.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,132,109
12364.0,1313.1,15.448235294117646,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,104,7
12365.0,641.38,29.153636363636362,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,0,290
12367.0,168.9,15.354545454545455,1,173,2011-12-05 16:48:00,2011-12-05 16:48:00,0,3
12370.0,3545.69,21.231676646706585,4,2353,2010-12-14 12:58:00,2011-10-19 14:51:00,309,50
12371.0,1887.96,29.96761904761905,2,591,2011-10-11 10:43:00,2011-10-26 10:16:00,14,44
12372.0,1298.04,24.962307692307693,3,794,2011-02-16 12:46:00,2011-09-29 12:12:00,224,71
12373.0,364.6,26.042857142857144,1,197,2011-02-01 13:10:00,2011-02-01 13:10:00,0,310
