CustomerID,total_revenue,avg_order_value,invoice_count,total_quantity,first_purchase,last_purchase,tenure_days,recency_days,churn_flag,purchase_frequency,raw_clv,risk_adjusted_clv,effective_tenure_days
12346.0,77183.6,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,0,325,1,1.0,0.0,0.0,30
12347.0,4310.0,23.68131868131868,7,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,365,1,0,0.019178082191780823,165.76923076923077,165.76923076923077,365
12348.0,1797.24,57.97548387096774,4,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,282,74,0,0.014184397163120567,231.90193548387097,231.90193548387097,282
12349.0,1757.55,24.07602739726028,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,0,18,0,1.0,0.0,0.0,30
12350.0,334.4,19.670588235294115,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0,309,1,1.0,0.0,0.0,30
12352.0,2506.04,29.482823529411764,8,536,2011-02-16 12:33:00,2011-11-03 14:37:00,260,35,0,0.03076923076923077,235.8625882352941,235.8625882352941,260
12353.0,89.0,22.25,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,0,203,1,1.0,0.0,0.0,30
12354.0,1079.4,18.610344827586207,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0,231,1,1.0,0.0,0.0,30
12355.0,459.4,35.33846153846154,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,0,213,1,1.0,0.0,0.0,30
12356.0,2811.43,47.65135593220339,3,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,302,22,0,0.009933774834437087,142.95406779661016,142.95406779661016,302
12357.0,6207.67,47.38679389312977,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,0,32,0,1.0,0.0,0.0,30
12358.0,1168.06,61.47684210526315,2,248,2011-07-12 10:04:00,2011-12-08 10:26:00,149,1,0,0.013422818791946308,122.95368421052629,122.95368421052629,149
12359.0,6372.58,25.6958870967742,4,1622,2011-01-12 12:43:00,2011-10-13 12:47:00,274,57,0,0.014598540145985401,102.78354838709679,102.78354838709679,274
12360.0,2662.06,20.63612403100775,3,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,148,51,0,0.02027027027027027,61.90837209302325,61.90837209302325,148
12361.0,189.9,18.99,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,0,286,1,1.0,0.0,0.0,30
12362.0,5226.23,19.64748120300752,10,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,292,2,0,0.03424657534246575,196.47481203007519,196.47481203007519,292
12363.0,552.0,24.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,132,109,0,0.015151515151515152,48.0,48.0,132
12364.0,1313.1,15.448235294117646,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,104,7,0,0.038461538461538464,61.79294117647059,61.79294117647059,104
12365.0,641.38,29.15363636363636,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,0,290,1,2.0,0.0,0.0,30
12367.0,168.9,15.354545454545455,1,173,2011-12-05 16:48:00,2011-12-05 16:48:00,0,3,0,1.0,0.0,0.0,30
12370.0,3545.69,21.231676646706585,4,2353,2010-12-14 12:58:00,2011-10-19 14:51:00,309,50,0,0.012944983818770227,84.92670658682636,84.92670658682636,309
12371.0,1887.96,29.96761904761905,2,591,2011-10-11 10:43:00,2011-10-26 10:16:00,14,44,0,0.14285714285714285,59.93523809523809,59.93523809523809,30
12372.0,1298.04,24.962307692307693,3,794,2011-02-16 12:46:00,2011-09-29 12:12:00,224,71,0,0.013392857142857142,74.88692307692308,74.88692307692308,224
12373.0,364.6,26.042857142857144,1,197,2011-02-01 13:10:00,2011-02-01 13:10:00,0,310,1,1.0,0.0,0.0,30
